Part_Number,Organization,WIP,Coldhead_Serial_Number,Temps,Arrival_Date,Teardown_Date,Test_Date,Date_Closed,depart_date,status
300388D,,UNKNOWN,SJ02894,,,,,2011-10-05 00:00:00,,
300388D.002,RCZ,29458,J02813,,2013-07-25T07:00:00,,2013-12-11 00:00:00,2014-01-13 00:00:00,,Closed
,,32707,J02331,,2014-02-20 00:00:00,,,2014-04-22 00:00:00,,Closed
300388D.002,,25173,J02151,,,,,,,Closed
300388D.002,RCZ,37074,J01489,,2014-11-04T08:00:00,,,,,Closed
300388D.002,RCZ,38327,J01601,,2015-01-06T08:00:00,,,2015-05-07 00:00:00,,Closed
300388D.002,RCZ,39511,J02731,,2015-03-05T08:00:00,,,2015-07-02 00:00:00,,Closed
300388D.002,RCZ,82991,J01539,,2016-07-19T08:00:00,,,2017-05-02 00:00:00,,Closed
300388D.002,,216135,J02937,,2017-02-04 00:00:00,,,2017-05-02 00:00:00,,Closed
300388D.002,RCZ,221574,J04107,,2017-10-12T08:00:00,,,2017-12-18 00:00:00,,Closed
300388D.002,RCZ,221575,J00871,,2017-10-12T08:00:00,,,2017-12-18 00:00:00,,Closed
300388D.002,,221581,J02792,,2017-10-16 00:00:00,,,2017-12-18 00:00:00,,Closed
300388D.002,,216121,J03871,,2017-10-16 00:00:00,,,2017-12-18 00:00:00,,Closed
300388D.002,RCZ,221574,J04107,,2017-10-12T08:00:00,,,2017-12-18 00:00:00,,Closed
300388D.002,RCZ,221575,J00871,,2017-10-12T08:00:00,,,2017-12-18 00:00:00,,Closed
300388D.002,,221581,J02792,,2017-10-16 00:00:00,,,2017-12-18 00:00:00,,Closed
300388D.002,,216121,J03871,,2017-10-16 00:00:00,,,2017-12-18 00:00:00,,Closed
300388D.002,,224210,J00635,,2018-03-07 00:00:00,,,2018-05-11 00:00:00,,Closed
300388D.002,,216238,J03089(1),,,,2017-02-27 00:00:00,,2017-03-01 00:00:00,Closed
300388D.002,,217996,J03089(2),,2017-05-03 00:00:00,,,,,Closed
300388D.002,,222753,J03089(3),,2017-12-14 00:00:00,,,2018-05-11 00:00:00,,Closed
300388D.002,,227185,J00750,,2018-08-07 00:00:00,,,2018-11-07 00:00:00,,Closed
300388D.002,RCZ,227187,J02587,,2018-08-07T08:00:00,,,2018-11-07 00:00:00,,Closed
300388D.002,,36629,J03584(1),,2014-09-02 00:00:00,,2015-01-09 00:00:00,2015-01-13 00:00:00,2015-01-20 00:00:00,Closed
300388D.002,,217995,J03584(2),,2017-05-03 00:00:00,,2017-07-26 00:00:00,2017-08-10 00:00:00,2017-08-14 00:00:00,Closed
300388D.002,,227549,J03584(3),,2018-08-22 00:00:00,,,2018-11-07 00:00:00,,Closed
300388D.002,,29184,J02301(1),,2013-07-10 00:00:00,,2013-09-13 00:00:00,2013-09-13 00:00:00,2013-09-13 00:00:00,Closed
300388D.002,,47248,J02301(2),,2016-04-12 00:00:00,,2016-05-18 00:00:00,2016-06-09 00:00:00,2016-06-10 00:00:00,Closed
300388D.002,,217573,J02301(3),,2017-04-14 00:00:00,,2017-05-11 00:00:00,2017-05-18 00:00:00,,Closed
300388D.002,,220858,J02301(4),,2017-09-06 00:00:00,,2017-09-21 00:00:00,2017-09-28 00:00:00,2017-09-29 00:00:00,Closed
300388D.002,,221848,J02301(5),,2017-11-21 00:00:00,,,2017-11-21 00:00:00,2017-11-22 00:00:00,Closed
300388D.002,,228519,J02301(6),,2018-10-12 00:00:00,,,2018-11-07 00:00:00,,Open
300388D,,24239,J0310D,,,,,2012-10-23 00:00:00,,Closed
300388D.002,RCZ,22950,J02000,,2012-06-19T08:00:00,,,2012-10-23 00:00:00,,Closed
300388D.002,RCZ,25172,J02805,,2012-10-18T07:00:00,,,2012-12-04 00:00:00,,Closed
300388D,,25175,J03198,,,,,2012-11-13 00:00:00,,Closed
300388D.002,RCZ,24237,J01468,,2012-08-27T08:00:00,,,2012-11-05 00:00:00,,Closed
300388D.002,RCZ,24238,J01446,,2012-08-27T08:00:00,,,2012-10-23 00:00:00,,Closed
300388D.002,RCZ,24236,J01506,,2012-08-27T08:00:00,,,2012-01-17 00:00:00,,Closed
300388D.002,RCZ,25171,J03121,,2012-10-18T07:00:00,,,2013-01-16 00:00:00,,Closed
300388D.002,RCZ,25486,J01497,,2012-11-13T08:00:00,,,2013-01-15 00:00:00,,Closed
300388D,,25496,SJ03228,,,,,2013-01-30 00:00:00,,Closed
300388D.002,RCZ,25954,J02990,,2012-12-05T08:00:00,,,2013-01-29 00:00:00,,Closed
300388D,,26189,J03201,,,,,2013-01-28 00:00:00,,Closed
300388D,,26412,J03156,,,,,2013-01-25 00:00:00,,Closed
300388D.002,,26826,J03195,,,,,2013-03-15 00:00:00,,Closed
300388D.002,RCZ,25172,J02805,,2012-10-18T07:00:00,,,2012-11-09 00:00:00,,Closed
300388D.002,,25174,J03161,,,,,2012-11-19 00:00:00,,Closed
300388D.002,,24239,J0310D,,,,,2012-11-20 00:00:00,,Closed
300388D.002,,27275,J01308,,,,,2013-04-12 00:00:00,,Closed
300388D.002,RCZ,27272,J02358,,2013-03-11T07:00:00,,,2013-04-17 00:00:00,,Closed
300388D.002,RCZ,27273,J02593,,2013-03-11T07:00:00,,,2013-04-18 00:00:00,,Closed
300388D.002,RCZ,27734,J02041,,2013-04-10T07:00:00,,,2013-04-19 00:00:00,,Closed
300388D.002,RCZ,27727,J02255,,2013-04-10T07:00:00,,,2013-04-25 00:00:00,,Closed
300388D.002,RCZ,27726,J01929,,2013-04-10T07:00:00,,,2013-04-22 00:00:00,,Closed
